Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,value,Sub_metering_3
1/1/2008,00:00:00,1.620,0.070,241.250,6.600,0.000,0.000,18.000
1/1/2008,00:01:00,1.626,0.072,241.740,6.600,0.000,0.000,18.000
1/1/2008,00:02:00,1.622,0.072,241.520,6.600,0.000,0.000,18.000
1/1/2008,00:03:00,1.612,0.070,240.820,6.600,0.000,0.000,18.000
1/1/2008,00:04:00,1.612,0.070,240.800,6.600,0.000,0.000,18.000
1/1/2008,00:05:00,1.546,0.000,240.660,6.400,0.000,0.000,17.000
1/1/2008,00:06:00,1.544,0.000,240.790,6.400,0.000,0.000,18.000
1/1/2008,00:07:00,1.550,0.000,241.330,6.400,0.000,0.000,18.000
1/1/2008,00:08:00,1.548,0.000,241.230,6.400,0.000,0.000,18.000
1/1/2008,00:09:00,1.548,0.000,241.270,6.400,0.000,0.000,18.000
1/1/2008,00:10:00,1.550,0.000,241.420,6.400,0.000,0.000,18.000
1/1/2008,00:11:00,1.544,0.000,240.930,6.400,0.000,0.000,17.000
1/1/2008,00:12:00,1.542,0.000,240.710,6.400,0.000,0.000,18.000
1/1/2008,00:13:00,1.530,0.000,239.700,6.400,0.000,0.000,18.000
1/1/2008,00:14:00,1.532,0.000,239.850,6.400,0.000,0.000,17.000
1/1/2008,00:15:00,1.536,0.000,240.220,6.400,0.000,0.000,18.000
1/1/2008,00:16:00,1.540,0.000,240.550,6.400,0.000,0.000,18.000
1/1/2008,00:17:00,1.530,0.000,239.630,6.400,0.000,0.000,18.000
1/1/2008,00:18:00,1.530,0.000,239.590,6.400,0.000,0.000,17.000
1/1/2008,00:19:00,1.532,0.000,239.760,6.400,0.000,0.000,18.000
1/1/2008,00:20:00,1.534,0.000,239.960,6.400,0.000,0.000,17.000
1/1/2008,00:21:00,1.534,0.000,239.960,6.400,0.000,0.000,18.000
1/1/2008,00:22:00,1.540,0.000,240.470,6.400,0.000,0.000,18.000
1/1/2008,00:23:00,1.538,0.000,240.320,6.400,0.000,0.000,18.000
1/1/2008,00:24:00,1.538,0.000,240.390,6.400,0.000,0.000,17.000
1/1/2008,00:25:00,1.546,0.000,241.040,6.400,0.000,0.000,18.000
1/1/2008,00:26:00,1.594,0.000,241.150,6.600,0.000,0.000,18.000
1/1/2008,00:27:00,1.652,0.098,240.650,6.800,0.000,0.000,18.000
1/1/2008,00:28:00,1.646,0.098,240.400,6.800,0.000,0.000,17.000
1/1/2008,00:29:00,1.646,0.098,240.630,6.800,0.000,0.000,18.000
1/1/2008,00:30:00,1.652,0.100,241.140,6.800,0.000,0.000,18.000
1/1/2008,00:31:00,1.646,0.100,240.760,6.800,0.000,0.000,18.000
1/1/2008,00:32:00,1.648,0.100,241.080,6.800,0.000,0.000,18.000
1/1/2008,00:33:00,1.640,0.098,240.510,6.800,0.000,0.000,17.000
1/1/2008,00:34:00,1.650,0.102,241.390,6.800,0.000,0.000,18.000
1/1/2008,00:35:00,1.654,0.104,241.840,6.800,0.000,0.000,18.000
1/1/2008,00:36:00,1.684,0.118,242.440,7.000,0.000,0.000,18.000
1/1/2008,00:37:00,1.738,0.212,242.570,7.200,0.000,0.000,18.000
1/1/2008,00:38:00,1.734,0.212,242.440,7.200,0.000,0.000,18.000
1/1/2008,00:39:00,1.728,0.208,242.030,7.200,0.000,0.000,18.000
